Strain_ID,HCA_Cluster
GCF_000164985.3,1
GCF_000237325.1,1
GCF_000265445.1,2
GCF_000463565.1,1
GCF_000507205.3,0
GCF_000520795.1,1
GCF_000597985.1,2
GCF_000735775.1,2
GCF_000785455.1,2
GCF_000809185.2,2
GCF_000819665.1,2
GCF_000943535.1,2
GCF_000955925.1,2
GCF_001277855.1,0
GCF_001481575.1,2
GCF_001593085.1,0
GCF_001662815.1,1
GCF_001663585.1,3
GCF_001707685.1,0
GCF_001709075.1,1
GCF_001709135.1,0
GCF_001719045.1,2
GCF_001874405.2,2
GCF_001874425.3,2
GCF_001922145.1,2
GCF_002893885.1,2
GCF_002894925.1,2
GCF_002916985.1,0
GCF_003052505.1,2
GCF_003813765.1,2
GCF_003971075.1,2
GCF_006274405.1,2
GCF_006874425.1,2
GCF_007858415.1,3
GCF_012933405.1,2
GCF_013345985.1,2
GCF_014706575.1,2
GCF_014854715.1,2
GCF_014905155.1,2
GCF_016806675.1,1
GCF_017589695.1,1
GCF_019852195.1,2
GCF_020181695.1,2
GCF_022492955.1,2
GCF_022537985.1,1
GCF_022649565.1,2
GCF_022811565.1,2
GCF_022813115.1,2
GCF_023374295.1,2
GCF_023586805.1,3
GCF_024584565.1,2
GCF_025720855.1,2
GCF_025916195.1,2
GCF_028471985.1,2
GCF_034321765.1,0
GCF_034321805.1,0
GCF_034321845.1,0
GCF_034321965.1,0
GCF_034322125.1,1
GCF_900109125.1,2
GCF_900406265.2,0
GCF_900454545.1,2
