,Latent Dimension 1,Latent Dimension 2,Latent Dimension 3,Latent Dimension 4
GCF_000164985.3,0.63628817,-3.3387234,-4.4967737,1.2475111
GCF_000237325.1,0.7926279,-2.8452468,-3.628994,1.0807055
GCF_000265445.1,2.5353851,1.9481547,1.1872874,1.0321802
GCF_000463565.1,1.3887053,-1.5041323,-3.1502435,1.1019602
GCF_000507205.3,1.7948279,0.62841696,-0.024261177,-1.1318247
GCF_000520795.1,0.8927837,-3.315025,-5.014444,1.3036641
GCF_000597985.1,2.65888,1.1877651,0.37764224,1.3389517
GCF_000735775.1,3.0068126,0.53685004,0.04353422,1.3586758
GCF_000785455.1,2.7783535,2.0656848,1.0967824,1.1938298
GCF_000809185.2,2.8304932,1.179791,0.6129688,0.8717701
GCF_000819665.1,1.9550173,1.1513661,-2.579269,2.0797074
GCF_000943535.1,2.2967641,-0.2034411,-0.20128632,0.84209603
GCF_000955925.1,2.6123173,1.2116783,1.0556293,0.9310043
GCF_001277855.1,3.0676243,4.308017,-0.74054825,0.3322724
GCF_001481575.1,1.296021,-1.5464795,-2.2493956,1.3600285
GCF_001593085.1,1.2161664,-1.2026439,-4.0346003,1.5464617
GCF_001662815.1,1.3518989,-0.89403063,-1.1374847,0.7531602
GCF_001663585.1,2.3683307,-0.8269533,-10.634386,4.419543
GCF_001707685.1,1.8031051,1.1602094,-0.8319607,-0.66341215
GCF_001709075.1,2.0310364,-0.15549059,-2.0384285,1.3893251
GCF_001709135.1,1.8632368,1.7858605,1.0351546,-0.8275606
GCF_001719045.1,2.5530965,4.380556,-0.09927392,1.0850018
GCF_001874405.2,2.3178155,4.4308224,2.2823348,-0.8463413
GCF_001874425.3,2.5295112,4.589593,2.0777192,-0.68372864
GCF_001922145.1,2.7234554,4.2843122,1.5122113,-0.5348444
GCF_002893885.1,2.6457489,1.8795929,1.2127721,0.96948844
GCF_002894925.1,1.8739723,-0.5480272,0.08706164,0.45959502
GCF_002916985.1,2.303657,2.5962124,1.3617994,-0.73927814
GCF_003052505.1,1.9907591,0.1858354,0.37479642,0.60693824
GCF_003813765.1,2.7321048,0.052427694,0.56808007,0.8922453
GCF_003971075.1,1.9957426,-0.78952086,0.5473534,0.15114044
GCF_006274405.1,2.5492678,1.5346736,1.4759408,0.563789
GCF_006874425.1,1.6465982,0.8474358,0.5564431,0.5573526
GCF_007858415.1,2.470688,-2.225616,-11.528967,4.686678
GCF_012933405.1,2.506344,1.9506574,1.2674899,1.0133339
GCF_013345985.1,1.666663,-0.115477756,-0.08087802,0.61021066
GCF_014706575.1,2.1458905,3.2262218,1.2846961,0.15262334
GCF_014854715.1,2.0594337,1.8224385,-1.6296897,1.7641327
GCF_014905155.1,2.8696136,-0.06235142,-1.1972451,1.5465534
GCF_016806675.1,1.188783,-1.2730784,-2.8555293,0.9609726
GCF_017589695.1,1.7801423,-0.62888163,-3.1076524,1.6665064
GCF_019852195.1,2.6833336,-0.5040602,-0.42257595,1.1449441
GCF_020181695.1,2.9646275,2.119738,1.1717122,1.2362343
GCF_022492955.1,2.932712,2.8679125,1.2707582,1.26893
GCF_022537985.1,1.0893806,-2.0031817,-4.0160904,1.025638
GCF_022649565.1,3.1757615,3.0803995,1.5111654,1.0387905
GCF_022811565.1,2.7989721,3.3118315,1.6439303,0.76335543
GCF_022813115.1,2.9823272,2.4745235,1.3766308,1.0738137
GCF_023374295.1,2.8929968,2.1234324,1.3927915,0.8473447
GCF_023586805.1,1.847882,-1.2701085,-8.64636,3.8302917
GCF_024584565.1,2.7540781,2.527147,1.8648138,0.7474311
GCF_025720855.1,2.541465,1.9084567,1.1088352,1.0333511
GCF_025916195.1,2.4782422,3.610312,1.2703595,-0.5668221
GCF_028471985.1,2.7813294,3.3261137,0.23586488,-0.5172325
GCF_034321765.1,1.1211276,-3.484689,-6.765376,1.4880452
GCF_034321805.1,1.3564788,-1.1530616,-5.368391,1.7721515
GCF_034321845.1,1.1268628,-3.409219,-6.7391844,1.5040259
GCF_034321965.1,1.1610069,-0.71894485,-5.16879,2.062032
GCF_034322125.1,1.4109641,-0.40282977,-4.1151934,1.5922374
GCF_900109125.1,1.9947083,-0.4692045,0.24127907,0.50600505
GCF_900406265.2,1.3757327,0.09266107,-0.6781663,-1.0665805
GCF_900454545.1,2.081529,-0.32718128,-0.33119702,0.70877093
