,Risk_Associated_Gene_Count,Pathogenicity_Risk_Index
GCF_001707685.1,29,1.0
GCF_006274405.1,28,0.966
GCF_003971075.1,27,0.931
GCF_001709135.1,27,0.931
GCF_001709075.1,26,0.897
GCF_017589695.1,26,0.897
GCF_034322125.1,26,0.897
GCF_022811565.1,25,0.862
GCF_025916195.1,25,0.862
GCF_028471985.1,25,0.862
GCF_014854715.1,25,0.862
GCF_001481575.1,25,0.862
GCF_000237325.1,25,0.862
GCF_000809185.2,25,0.862
GCF_900406265.2,25,0.862
GCF_000819665.1,24,0.828
GCF_014905155.1,24,0.828
GCF_001593085.1,24,0.828
GCF_022813115.1,24,0.828
GCF_034321845.1,23,0.793
GCF_019852195.1,23,0.793
GCF_034321765.1,23,0.793
GCF_002893885.1,23,0.793
GCF_001922145.1,23,0.793
GCF_001662815.1,23,0.793
GCF_001719045.1,23,0.793
GCF_001874425.3,23,0.793
GCF_000955925.1,23,0.793
GCF_000520795.1,23,0.793
GCF_000164985.3,23,0.793
GCF_022537985.1,23,0.793
GCF_013345985.1,23,0.793
GCF_034321965.1,22,0.759
GCF_024584565.1,22,0.759
GCF_007858415.1,22,0.759
GCF_022649565.1,22,0.759
GCF_022492955.1,22,0.759
GCF_016806675.1,22,0.759
GCF_001663585.1,22,0.759
GCF_000507205.3,21,0.724
GCF_000265445.1,21,0.724
GCF_003052505.1,21,0.724
GCF_002894925.1,21,0.724
GCF_000463565.1,21,0.724
GCF_012933405.1,21,0.724
GCF_006874425.1,21,0.724
GCF_023586805.1,21,0.724
GCF_034321805.1,21,0.724
GCF_900109125.1,20,0.69
GCF_023374295.1,20,0.69
GCF_001277855.1,20,0.69
GCF_000735775.1,20,0.69
GCF_003813765.1,20,0.69
GCF_000597985.1,20,0.69
GCF_900454545.1,20,0.69
GCF_014706575.1,19,0.655
GCF_000943535.1,19,0.655
GCF_002916985.1,19,0.655
GCF_025720855.1,19,0.655
GCF_020181695.1,18,0.621
GCF_000785455.1,17,0.586
GCF_001874405.2,15,0.517
